-1,-1,-1,104073
220,112,76,1
252,232,112,1
252,236,48,1
248,92,48,2
252,180,52,1
228,12,8,17
184,104,32,1
164,76,72,1
244,96,48,1
248,224,16,1
248,8,0,686
208,28,24,5
244,208,104,1
244,68,68,3
216,76,68,2
220,128,128,1
240,92,16,1
188,44,60,1
244,224,36,1
252,124,44,3
204,76,68,1
200,52,60,1
212,124,12,1
208,76,72,3
196,48,32,4
204,60,44,3
252,252,204,2
248,112,76,2
176,40,16,1
252,248,168,1
204,168,32,1
216,12,4,4
228,60,64,9
248,24,20,13
232,48,32,4
252,148,0,425
228,108,68,1
244,12,12,27
172,88,72,1
204,40,52,2
224,44,0,2
228,176,20,1
248,148,64,1
156,36,36,1
212,168,160,1
252,112,28,11
228,40,12,1
228,140,140,1
236,88,32,2
244,140,56,2
240,228,0,3
252,92,24,7
236,4,4,4
172,52,52,1
220,112,112,1
188,148,144,1
240,180,136,1
220,152,12,1
252,240,32,3
248,64,4,1
240,184,168,1
240,152,108,1
184,32,28,1
212,52,24,2
252,220,4,11
248,36,4,5
232,208,212,1
252,160,168,1
244,68,0,16
236,200,196,1
252,168,24,8
232,212,116,2
232,208,44,1
232,140,144,1
224,68,36,2
244,56,28,8
220,180,172,1
200,124,112,1
204,56,56,1
252,188,192,2
228,152,152,1
240,44,28,10
212,156,156,2
236,76,8,1
184,100,96,1
228,200,4,1
252,80,32,10
220,64,24,1
224,128,72,1
252,60,68,21
232,64,40,4
252,44,0,215
208,56,36,5
248,92,0,12
248,224,220,4
224,156,148,1
232,40,48,1
192,20,4,3
216,180,32,1
252,136,76,2
244,48,16,7
244,60,16,2
224,48,24,1
240,116,8,1
248,176,16,1
164,56,48,1
248,60,20,2
196,132,124,1
224,100,88,1
236,224,224,4
240,76,48,3
220,8,4,5
224,72,60,5
240,236,236,3
196,104,12,1
176,32,16,2
252,76,12,59
228,56,32,2
212,72,68,2
220,4,0,1
252,24,48,1
156,64,60,3
248,104,24,2
176,24,24,1
248,64,44,6
248,112,88,3
252,176,120,3
216,100,52,1
244,88,48,2
236,20,16,9
248,20,16,9
244,188,120,1
176,76,76,3
232,200,204,1
248,212,216,1
252,152,4,60
228,96,64,1
240,100,80,2
204,172,40,1
168,68,56,1
188,36,28,5
232,176,136,1
224,124,96,1
252,112,112,1
252,116,16,26
224,64,68,2
244,128,60,1
192,32,36,1
224,168,8,1
236,8,0,28
252,156,60,3
240,212,32,1
248,120,48,1
228,200,76,1
224,92,100,1
232,108,36,1
252,244,44,2
240,212,196,1
252,216,192,1
240,84,72,5
252,192,0,97
244,228,200,2
236,204,4,1
192,56,52,2
228,120,112,1
236,184,112,1
248,116,40,2
228,76,60,4
232,132,52,1
208,44,48,1
248,164,156,2
204,12,20,1
168,68,28,1
236,80,12,1
244,148,108,1
252,80,68,20
252,84,44,33
236,60,0,8
196,120,120,1
252,60,32,15
252,156,104,2
216,48,48,2
240,144,148,2
220,184,100,1
192,100,88,1
228,40,20,2
236,160,152,1
252,160,116,4
220,104,92,1
252,164,156,2
244,100,40,1
224,52,52,1
236,44,32,5
248,244,244,24
240,112,4,1
248,172,20,1
244,204,16,1
228,132,28,3
244,116,44,1
208,116,0,1
208,112,96,1
252,100,36,3
252,152,44,3
180,36,12,1
248,64,0,35
240,220,204,1
232,72,28,1
240,56,56,3
248,104,68,3
248,100,28,1
216,84,4,2
248,60,40,3
136,24,12,1
252,176,28,2
248,16,12,72
188,84,88,1
232,200,40,2
204,92,0,1
248,236,208,1
252,156,24,10
248,228,16,3
248,224,144,1
240,96,92,1
204,48,44,3
244,216,152,1
232,80,24,1
204,28,8,7
240,56,20,1
252,120,20,9
232,24,32,1
240,228,184,1
244,132,0,8
216,132,20,1
228,172,92,1
228,208,84,1
200,16,12,1
216,12,0,1
232,104,48,1
252,240,216,1
248,120,44,1
232,104,40,1
252,248,40,1
252,252,216,3
232,136,48,1
244,208,208,6
252,196,12,8
216,184,180,1
248,24,32,1
252,168,160,2
244,124,8,1
252,144,32,3
252,148,128,2
252,244,152,1
228,64,56,2
248,120,112,1
208,40,44,1
232,152,152,1
248,156,0,13
204,88,32,1
228,148,16,1
244,128,36,1
224,92,24,3
228,56,36,1
236,84,0,3
196,64,48,1
252,84,72,24
240,132,128,1
252,88,40,4
236,56,60,6
252,32,36,24
180,72,64,1
180,116,88,1
216,44,52,1
236,212,60,1
232,12,12,10
228,44,24,6
244,220,128,1
252,160,40,3
252,164,120,2
168,68,60,2
220,116,72,1
204,108,84,2
252,140,12,22
252,252,188,1
240,124,0,2
200,96,80,1
248,128,44,1
252,148,48,1
192,36,40,2
212,156,28,1
220,152,100,1
224,132,100,1
252,104,32,4
236,112,84,1
252,64,52,7
252,52,4,98
228,124,128,1
252,92,80,23
244,36,12,17
232,68,24,1
216,152,36,2
236,192,188,1
228,36,28,6
236,200,12,1
224,208,204,1
208,56,40,2
216,36,12,1
156,36,20,1
244,80,56,1
252,180,16,5
244,216,204,1
248,12,8,201
232,196,44,1
204,72,68,1
228,120,88,1
228,64,0,3
244,56,48,3
204,52,32,4
240,140,56,1
188,64,52,6
244,124,116,1
212,160,12,1
252,124,8,29
236,100,20,2
220,44,32,1
240,232,20,1
204,32,36,1
252,72,20,25
240,40,44,3
164,100,92,1
180,56,40,1
220,124,100,1
232,72,48,1
252,252,52,1
244,20,32,1
220,104,96,1
248,80,76,1
252,200,8,7
236,140,88,1
244,124,84,2
244,112,12,3
252,148,44,3
172,44,24,1
176,88,88,1
220,32,24,4
228,68,36,2
252,172,116,1
248,124,60,2
228,184,136,1
248,152,12,1
248,148,100,1
216,144,140,1
240,48,8,1
240,52,60,3
220,32,8,2
228,196,16,1
252,92,52,21
252,36,40,19
248,8,4,512
220,144,144,2
236,208,200,1
248,236,8,1
252,240,4,70
248,80,20,2
220,160,124,1
216,64,12,1
252,220,32,1
236,132,124,1
252,172,112,2
216,152,80,1
252,164,36,1
228,28,24,8
252,172,164,2
252,140,104,1
216,168,52,1
224,60,60,1
252,84,48,91
244,40,12,6
248,108,112,1
172,112,104,1
188,76,64,2
232,188,16,1
248,112,92,1
208,48,24,5
244,152,148,1
224,56,32,2
160,68,64,1
184,100,68,1
224,188,48,4
236,0,4,1
252,56,0,272
236,32,20,3
200,40,16,3
236,204,16,1
232,116,24,1
248,52,32,10
252,212,184,2
244,84,36,2
252,184,20,5
232,196,112,1
236,216,8,3
248,228,216,8
252,132,16,17
228,204,44,1
252,136,112,3
240,104,68,2
204,56,36,1
240,92,88,1
240,88,72,2
248,132,80,2
252,124,100,2
252,96,12,52
228,96,32,1
228,160,120,1
220,84,76,2
232,28,4,4
180,32,20,1
236,20,20,5
252,140,140,3
220,96,96,1
236,60,56,4
216,156,160,1
252,224,48,2
248,64,8,4
252,92,92,1
248,84,16,3
216,136,140,1
252,204,116,5
204,152,36,1
248,244,240,6
172,40,12,2
252,152,40,2
228,216,216,1
252,156,152,4
244,60,56,1
204,128,112,1
240,28,16,19
232,156,128,1
224,160,52,1
236,40,20,10
236,92,44,1
208,48,36,2
200,76,64,1
224,164,4,2
244,244,28,1
252,112,84,6
200,32,36,3
228,44,32,3
184,84,80,2
244,140,8,2
228,216,20,1
208,180,176,2
232,116,76,1
248,124,116,4
244,28,16,13
252,244,8,23
228,196,196,6
248,76,16,1
232,4,4,5
204,132,132,1
228,36,0,2
188,48,48,2
236,140,136,3
252,168,32,5
232,212,188,1
248,212,196,1
172,72,64,1
248,204,4,1
188,104,8,1
236,104,88,2
240,120,88,1
240,68,56,4
196,96,96,1
232,188,180,1
232,180,116,1
244,252,132,1
236,76,64,1
160,64,76,1
220,56,52,6
252,80,24,21
208,172,40,1
240,196,12,1
204,28,20,5
180,80,0,1
212,56,52,3
216,52,20,1
236,208,20,2
252,208,108,2
252,212,196,1
220,52,20,1
252,188,8,20
248,4,0,679
176,92,92,1
252,136,20,5
224,52,8,1
188,124,96,1
248,92,60,1
240,116,64,2
192,100,76,1
232,160,148,1
220,108,16,1
192,52,28,1
236,64,40,1
252,96,96,3
192,40,24,1
252,100,0,158
236,108,12,1
244,176,12,1
228,120,124,1
220,192,148,1
232,76,72,1
232,152,112,1
176,52,44,1
252,184,168,1
240,172,172,2
176,24,8,3
252,136,80,4
212,20,12,6
216,104,76,1
252,180,144,1
216,128,0,1
252,156,52,2
164,52,64,2
224,188,32,1
236,196,204,1
188,48,20,1
244,220,20,1
188,44,16,4
252,8,8,1038
236,116,104,1
240,100,88,1
244,236,232,3
236,92,84,1
244,104,4,1
200,84,84,2
220,40,0,1
228,92,56,1
196,96,88,1
252,68,60,9
212,80,4,1
252,44,16,65
248,116,24,1
232,108,28,2
224,196,168,1
252,248,12,8
252,252,180,2
184,32,4,2
224,180,180,2
248,140,148,1
220,172,172,3
200,100,76,2
252,168,132,1
200,72,72,2
252,172,28,2
216,164,84,1
216,160,76,1
200,156,32,1
236,112,76,1
228,184,8,1
232,140,64,2
248,152,140,2
248,128,16,3
228,76,52,1
228,148,108,1
224,92,60,2
244,148,36,2
220,60,40,2
252,84,20,13
236,124,32,1
244,100,0,2
252,32,24,92
212,60,56,1
208,108,84,2
244,84,72,7
240,176,132,1
