  3594,     -55041,     1 ,   2 ,  END,  END,  1, 1, 1, 1
  -14454,   -322576,    0 ,  END,  END,  END,  1, 1, 1, 1
  379475,   -450117,    0 ,   5 ,   3 ,  END,  1, 1, 1, 1
  225798,   -582105,    2 ,   4 ,   5 ,  END,  1, 1, 1, 1
  154501,   -655049,    3 ,   9 ,  END,  END,  1, 1, 1, 1
  511884,   -494150,    2 ,   3 ,   6 ,   8 ,  1, 1, 1, 1
  761947,   -427210,    5 ,   7 ,  END,  END,  1, 1, 1, 1
  762546,   -496485,    6 ,  17 ,   8 ,  END,  1, 1, 1, 1
  753110,   -619578,    5 ,   7 ,  16 ,  11 ,  1, 1, 1, 1
  539144,   -964504,    4 ,  10 ,  11 ,  END,  1, 1, 1, 1
  505443,   -1077701,   9 ,  12 ,  13 ,  END,  1, 1, 1, 1
  743149,   -1132853,   8 ,   9 ,  14 ,  13 ,  1, 1, 1, 1
  360902,   -1165656,  10 ,  END,  END,  END,  1, 1, 1, 1
  749590,   -1614327,  10 ,  11 ,  27 ,  END,  1, 1, 1, 1
  913902,   -1062578,  11 ,  15 ,  24 ,  END,  1, 1, 1, 1
  981229,   -901679,   16 ,  14 ,  20 ,  END,  1, 1, 1, 1
  962581,   -660386,    8 ,  19 ,  14 ,  END,  1, 1, 1, 1
  1425187,  -145998,    7 ,  18 ,  19 ,  END,  1, 1, 1, 1
  1549507,  -52150,    17 ,  22 ,  END,  END,  1, 1, 1, 1
  1369318,  -448893,   16 ,  17 ,  20 ,  END,  1, 1, 1, 1
  1337039,  -658051,   19 ,  21 ,  17 ,  END,  1, 1, 1, 1
  1375009,  -670283,   20 ,  24 ,  22 ,  END,  1, 1, 1, 1
  1483303,  -692633,   21 ,  23 ,  18 ,  END,  1, 1, 1, 1
  1529286,  -683181,   22 ,  25 ,  END,  END,  1, 1, 1, 1
  1329400,  -1273515,  14 ,  21 ,  26 ,  END,  1, 1, 1, 1
  1480682,  -1577522,  26 ,  23 ,  END,  END,  1, 1, 1, 1
  1403768,  -1634787,  25 ,  27 ,  24 ,  END,  1, 1, 1, 1
  865073,   -1618553,  13 ,  26 ,  END,  END,  1, 1, 1, 1
