  -183969,  380865, 1 ,   2 ,  END,  END,  1, 1, 1, 1,
  -73039,   380865, 0 ,   3 ,   7 ,  END,  1, 1, 1, 1,
  -182101,  338388, 0 ,   3 ,   4 ,   5 ,  1, 1, 1, 1,
  -117516,  328381, 1 ,   2 ,   5 ,   6 ,  1, 1, 1, 1,
  -117840,  296690, 2 ,   5 ,   10,  END,  1, 1, 1, 1,
  -143753,  300471, 2 ,   3 ,   4 ,   8 ,  1, 1, 1, 1,
  -66386,   118667, 3 ,   13,   7 ,  END,  1, 1, 1, 1,
  71903,    154917, 1 ,   6 ,   14,  END,  1, 1, 1, 1,
  -21087,    51950, 5 ,   9 ,   11,  END,  1, 1, 1, 1,
  -61901,    14366, 8 ,   10,   11,  END,  1, 1, 1, 1,
  -192267,  -70253, 4 ,   9 ,   12,  END,  1, 1, 1, 1,
  -13687,   -65027, 8 ,   9 ,   12,  END,  1, 1, 1, 1,
  -6885,    -97607, 10 ,  11,   13,  END,  1, 1, 1, 1,
  33855,    -98274, 6 ,   12,   15,   16,  1, 1, 1, 1,
  95599,   -113397, 7 ,   15,   17,  END,  1, 1, 1, 1,
  84237,   -137192, 13 ,  16,  END,  END,  1, 1, 1, 1,
  -4941,   -226037, 13 ,  15,  END,  END,  1, 1, 1, 1,
  115408,  -294533, 14 , END,  END,  END,  1, 1, 1, 1

