6.0,4,True
216,48,24,255
252,100,88,35
180,100,12,255
252,208,176,4
252,212,16,170
252,64,84,32
248,44,8,255
204,92,96,64
204,52,64,36
244,76,60,70
252,160,28,255
248,16,24,255
244,68,28,255
236,208,4,255
228,148,104,255
244,52,52,51
180,116,116,12
252,168,60,255
248,168,84,255
220,16,12,255
212,48,32,102
244,100,60,128
240,36,16,255
240,40,40,198
168,28,24,4
220,12,8,255
212,144,136,7
240,136,36,255
252,104,20,255
224,188,116,23
208,152,12,255
236,80,76,85
228,32,16,255
252,48,48,194
232,208,8,170
232,72,52,57
184,44,48,43
224,104,44,255
176,48,48,57
236,176,112,32
252,224,216,2
240,136,0,255
216,80,68,85
244,92,84,57
252,152,48,255
196,116,120,20
244,80,12,255
228,8,0,255
252,32,36,204
252,152,128,57
192,40,16,232
232,196,200,4
252,96,8,255
252,128,64,255
244,136,92,128
240,108,44,255
248,184,12,255
236,48,56,64
184,36,16,255
240,80,8,255
172,48,28,170
212,172,32,255
252,120,76,128
236,96,64,128
252,240,24,255
236,100,32,255
252,96,52,255
244,184,72,255
228,160,80,255
212,80,88,64
248,88,52,255
200,44,44,128
240,208,4,128
252,16,4,255
232,104,0,255
228,176,20,255
240,132,40,255
212,40,20,255
248,72,72,102
248,68,40,255
212,188,188,2
252,192,140,64
236,136,144,128
228,60,24,255
176,68,64,255
236,148,144,128
204,120,112,32
252,148,120,24
252,180,184,2
244,156,48,128
244,8,12,255
240,40,8,255
192,48,60,26
216,48,52,128
204,60,60,85
176,40,36,30
208,32,16,213
240,172,172,22
240,76,32,255
176,92,12,255
248,152,88,255
240,52,44,128
248,72,80,36
200,36,12,255
184,92,0,255
212,128,116,43
224,160,52,255
220,72,40,255
216,24,16,255
224,92,28,255
236,44,16,255
248,136,104,64
220,68,24,255
248,84,96,255
212,12,8,255
220,160,32,255
228,44,48,28
244,108,12,255
248,40,4,255
236,132,72,255
244,64,56,70
192,48,32,191
204,104,112,255
192,52,60,64
252,140,52,255
228,116,56,255
164,68,76,102
252,156,8,255
208,36,4,255
232,52,48,128
244,40,48,43
248,168,48,255
224,140,76,255
184,20,28,43
228,152,96,255
232,152,80,255
156,44,56,51
200,80,92,170
200,68,72,64
240,20,16,255
252,108,40,255
228,60,52,43
236,116,20,255
220,92,0,255
252,52,60,73
232,68,48,43
216,60,68,43
140,20,12,128
216,56,44,43
224,212,76,255
248,108,84,9
220,176,104,128
216,80,32,255
216,76,64,102
252,176,152,51
228,12,12,255
252,188,152,9
184,80,60,128
236,164,132,64
188,44,48,28
216,184,56,255
248,224,20,85
168,64,60,149
248,188,184,25
240,120,124,85
248,180,8,255
252,208,68,102
204,76,80,57
244,212,28,255
240,92,64,64
244,232,224,2
220,128,92,128
244,48,60,51
208,136,132,30
220,4,4,255
252,124,80,191
224,72,36,255
212,120,96,51
228,208,208,1
240,168,76,255
212,84,68,51
232,100,84,255
212,72,44,255
240,220,0,170
252,20,8,255
236,60,4,255
232,100,4,255
252,252,92,6
248,68,76,64
220,24,12,223
252,200,96,128
252,204,64,255
236,148,124,255
244,112,100,85
192,32,20,170
204,64,52,128
244,12,0,255
244,100,56,255
228,68,12,255
228,88,84,170
252,204,60,170
240,76,68,90
240,72,60,58
188,76,88,51
212,44,56,64
240,48,32,255
252,112,24,255
200,32,16,255
236,108,68,255
220,36,48,102
252,92,28,255
236,172,172,28
228,164,140,21
220,112,124,255
248,124,56,255
240,180,180,6
252,148,88,191
216,40,16,255
176,52,64,51
220,160,68,255
252,220,8,213
252,96,12,255
248,36,0,255
252,196,184,3
252,168,20,255
232,212,112,255
216,172,164,3
236,48,60,85
216,168,12,128
228,72,60,39
232,132,108,85
252,20,16,254
240,120,100,85
244,176,140,28
228,108,108,128
248,180,160,85
240,44,24,255
224,84,28,255
228,72,32,255
236,76,12,255
196,72,68,96
240,16,28,102
188,92,92,128
208,164,172,3
192,28,20,102
236,120,16,255
196,100,96,255
252,56,56,212
252,60,72,91
248,200,0,255
232,64,44,64
216,56,72,43
240,168,84,255
224,132,120,36
248,232,0,221
252,208,48,43
232,120,96,85
252,240,232,4
244,84,76,170
244,72,20,255
240,40,4,255
252,188,116,36
236,28,16,255
252,144,104,4
220,140,124,43
216,48,48,73
236,60,48,34
228,128,80,255
248,220,16,128
252,188,88,255
204,24,4,255
244,60,20,255
232,108,20,255
240,116,52,255
200,104,76,128
208,68,44,128
208,64,68,64
244,204,168,7
248,132,40,255
220,8,0,255
252,96,84,32
240,236,232,0
236,108,56,255
248,176,12,255
252,144,132,15
212,72,64,51
244,64,12,255
232,76,28,255
252,24,12,255
248,104,28,255
232,96,24,255
196,48,48,96
252,196,12,255
252,228,232,3
252,52,80,13
192,52,48,85
192,24,12,255
236,72,0,255
196,52,36,85
232,204,32,255
232,200,192,6
248,164,156,128
252,152,0,255
204,68,56,51
184,8,8,255
244,0,4,255
240,72,32,255
204,44,44,85
232,152,92,255
224,40,0,255
224,68,84,128
164,44,12,255
244,60,8,255
240,84,56,255
156,36,20,255
240,60,36,191
180,24,24,28
240,116,16,255
244,128,56,255
160,60,68,64
252,64,24,255
192,76,64,43
216,16,8,255
212,40,52,20
196,44,56,9
192,64,48,85
216,192,196,2
224,192,52,255
212,28,36,85
220,76,60,128
220,44,36,128
252,192,12,255
216,148,140,4
232,192,184,4
244,120,0,255
248,252,56,43
232,212,212,6
240,120,120,255
200,48,28,255
252,192,36,51
240,92,68,39
228,76,48,85
248,200,196,4
224,72,8,255
208,44,12,255
248,164,152,85
200,120,112,43
252,152,60,255
244,176,180,11
196,72,60,85
196,148,52,255
252,200,100,213
236,80,8,255
196,76,72,128
252,80,64,53
248,104,72,43
236,24,20,255
252,60,36,255
224,84,40,255
252,128,28,255
236,208,28,255
220,148,140,8
248,88,0,255
244,92,60,170
236,212,212,15
252,208,84,170
228,40,16,255
248,112,8,255
136,36,20,255
232,36,48,32
244,76,24,255
192,52,64,43
196,60,68,36
252,164,144,85
240,180,120,64
248,180,104,32
224,52,48,43
168,32,20,36
244,48,16,255
236,80,68,81
240,108,88,36
208,64,32,128
232,160,124,255
244,104,88,26
248,76,52,64
232,140,108,255
248,108,108,255
240,184,160,3
176,112,20,255
236,108,84,51
204,128,136,64
244,108,40,255
252,48,20,255
252,80,84,78
212,76,76,85
136,24,16,85
204,28,24,213
252,28,16,255
176,48,28,255
224,200,168,3
252,228,84,128
248,60,52,109
212,116,116,255
176,100,80,36
192,132,140,6
236,48,48,43
252,176,24,255
232,204,132,43
228,108,128,128
252,156,28,255
244,88,20,255
252,128,100,9
240,96,80,43
204,48,40,59
188,36,12,255
228,72,36,128
240,84,92,85
240,80,52,153
240,168,88,255
252,200,104,96
252,116,112,70
228,176,28,255
192,48,28,170
244,216,192,8
244,132,4,255
208,144,144,12
252,68,20,255
244,212,32,255
192,156,156,3
240,112,8,255
252,112,88,8
216,12,12,255
240,84,4,255
252,240,228,1
252,108,92,8
232,104,44,255
252,128,116,51
252,252,220,0
252,144,108,4
216,140,124,43
252,124,8,255
212,92,100,64
252,204,192,1
204,24,8,255
236,188,184,4
228,20,8,255
236,184,16,85
204,36,16,255
184,116,100,12
232,156,116,128
248,76,72,102
224,116,72,43
240,216,172,9
240,52,0,255
200,40,48,51
212,140,56,255
228,192,8,170
244,36,48,64
252,88,36,255
252,32,32,249
224,144,0,255
232,88,36,255
228,176,168,4
216,44,48,73
248,84,4,255
232,12,8,255
252,212,88,102
228,44,28,128
236,128,124,128
244,76,68,15
244,64,28,255
252,164,124,128
216,176,92,85
252,140,16,255
248,212,24,128
232,140,28,255
244,52,12,255
240,124,60,255
232,164,168,15
208,76,36,255
248,128,48,255
224,104,52,255
248,188,124,36
220,48,56,96
252,104,92,7
244,176,136,128
236,116,48,255
220,188,188,2
244,168,88,255
224,132,100,255
236,28,20,255
244,236,208,19
216,60,24,255
188,44,40,48
196,52,40,109
252,232,80,191
244,104,60,255
248,56,56,159
244,80,52,170
252,192,56,255
252,180,20,255
204,96,4,255
236,160,64,255
252,188,124,85
236,164,160,17
252,128,24,255
252,132,104,3
192,44,48,51
244,56,60,159
204,52,36,204
224,16,8,255
228,136,76,255
240,92,48,255
224,100,100,102
228,224,152,13
252,64,76,170
252,124,12,255
208,32,20,255
200,52,28,255
160,56,52,43
220,80,76,43
248,156,72,255
252,72,16,255
228,108,84,255
216,8,0,255
248,112,44,255
252,116,60,170
232,100,40,255
192,36,12,255
216,32,12,255
168,28,20,9
252,200,4,255
252,204,156,16
232,48,0,255
220,40,0,255
184,132,24,255
252,148,32,255
160,48,52,36
212,8,12,255
236,208,204,5
204,40,20,255
248,192,188,3
188,84,72,170
248,152,0,255
252,184,68,255
232,176,12,128
208,88,80,170
240,48,12,255
252,148,64,255
228,52,72,13
236,184,184,4
252,88,72,70
244,196,196,10
180,48,36,191
232,104,100,170
196,112,108,255
252,36,44,48
180,76,64,128
252,240,0,240
252,244,160,64
232,8,4,255
172,48,40,64
252,216,92,179
252,220,36,36
232,60,40,102
188,56,40,85
252,240,20,255
244,120,128,255
252,172,168,23
252,64,56,177
232,208,204,1
216,168,40,255
228,72,80,255
200,132,52,255
244,40,8,255
240,120,0,255
220,36,32,146
244,196,44,85
252,144,8,255
212,144,20,255
220,52,52,73
252,112,92,12
252,108,96,20
236,116,92,43
248,232,8,255
180,52,32,255
252,56,28,255
236,32,16,255
252,196,16,170
204,60,48,102
176,40,56,7
176,56,36,85
248,248,140,255
204,24,12,255
248,52,60,43
176,108,88,32
252,184,16,255
204,100,8,255
232,192,52,85
248,228,212,3
252,132,20,255
252,136,108,4
208,60,40,255
196,32,0,191
244,60,48,46
248,180,48,255
224,28,12,213
200,28,36,57
208,68,0,255
240,92,84,64
240,88,76,112
248,132,76,255
244,128,92,43
240,68,80,85
212,152,156,5
224,72,28,255
200,48,32,170
228,208,152,10
252,192,100,255
224,156,0,255
212,52,64,46
236,20,8,255
216,4,4,255
220,132,120,64
232,96,52,255
252,224,60,96
252,228,212,1
236,16,8,255
236,236,192,7
244,88,16,255
228,48,36,96
176,64,52,98
236,152,92,255
244,116,20,255
252,152,36,255
252,156,156,43
244,120,24,255
240,100,48,255
204,36,0,255
208,48,24,213
244,220,204,3
204,24,20,204
248,144,124,64
208,100,84,128
252,112,80,62
212,140,128,16
196,44,32,43
252,92,84,107
252,64,60,168
216,120,116,255
252,40,40,154
176,36,28,8
232,80,28,255
180,100,96,170
252,192,60,128
252,244,12,153
220,160,156,10
232,4,0,255
244,28,16,255
252,220,64,128
204,40,56,2
252,192,32,51
252,196,128,20
232,56,36,128
244,120,36,255
248,212,192,2
172,72,92,85
248,204,0,255
244,140,80,255
244,44,4,255
236,84,36,255
240,68,4,255
232,188,176,1
208,84,60,255
208,80,84,85
252,88,0,255
200,44,16,255
160,64,64,85
220,56,48,32
212,128,84,128
252,244,56,85
248,164,128,128
252,208,116,30
212,56,48,153
200,40,32,46
160,28,24,14
220,184,56,128
236,208,16,255
220,184,4,255
252,208,104,128
248,48,32,240
220,192,192,2
244,72,44,128
252,188,12,255
252,160,84,255
236,168,72,255
220,60,0,255
252,136,16,255
152,32,16,255
232,8,0,255
232,172,152,2
216,192,192,5
240,88,40,255
228,132,60,255
224,108,108,85
228,196,136,36
252,100,4,255
252,220,32,85
208,36,48,38
236,24,12,246
248,160,100,128
216,44,28,191
248,104,36,255
236,80,32,255
224,200,132,21
252,228,48,182
252,240,8,230
248,60,8,255
236,132,84,255
228,52,24,255
232,204,88,255
236,156,96,255
244,104,16,255
220,188,64,255
236,168,144,85
248,204,60,255
248,184,180,21
188,92,80,255
208,164,164,2
200,72,64,64
184,124,116,3
244,236,236,5
236,92,88,128
236,96,56,255
244,132,32,255
252,64,80,43
200,16,8,255
236,128,24,255
240,208,204,11
240,224,0,170
176,32,16,102
220,156,44,255
196,36,16,255
252,248,8,174
236,228,228,1
172,68,68,102
228,56,0,255
188,52,48,146
216,144,76,6
236,196,16,85
244,124,40,255
252,112,60,255
252,144,64,255
248,208,0,213
200,164,160,2
216,160,80,128
224,36,32,204
232,128,8,255
252,140,116,12
244,32,0,255
228,184,52,128
248,156,32,255
192,96,88,255
244,252,36,85
228,148,112,255
200,40,28,64
224,180,36,255
244,148,40,255
228,192,44,255
220,92,64,128
200,28,16,255
244,228,232,1
240,192,4,255
240,180,72,255
240,72,52,36
232,92,96,85
236,76,56,57
248,88,72,27
236,212,28,255
248,44,36,237
204,132,124,12
244,76,32,255
204,104,80,204
252,164,88,255
188,20,12,255
244,24,12,255
228,112,48,255
224,48,24,255
244,180,172,26
208,24,20,255
244,52,40,255
196,44,44,64
228,132,88,64
168,76,72,128
236,68,56,55
248,180,176,31
208,124,132,32
252,104,0,255
156,44,52,18
244,176,172,28
244,204,116,7
160,44,56,21
244,168,124,85
252,192,48,128
220,100,12,255
216,60,60,32
248,100,32,255
212,144,24,255
232,120,60,255
192,44,56,20
252,232,52,219
252,236,236,6
232,16,16,255
244,80,24,255
204,156,56,255
152,20,16,85
228,116,68,255
244,108,28,255
252,128,60,255
252,108,28,255
232,64,88,43
248,128,84,128
244,212,212,18
248,140,28,255
224,100,88,255
252,244,36,204
244,52,28,255
252,120,88,16
212,132,120,78
208,148,8,255
244,184,36,128
252,68,92,64
160,28,28,18
240,124,12,255
212,84,28,255
220,120,60,255
252,16,16,254
220,40,8,255
240,216,216,16
216,32,32,128
220,68,12,255
252,252,20,77
248,68,20,255
224,144,4,255
220,172,12,128
252,196,72,255
228,60,12,255
236,144,108,255
188,92,76,255
244,124,116,255
224,176,108,85
252,148,76,255
152,52,36,85
228,52,64,21
248,196,8,170
168,124,124,0
204,28,12,255
240,64,84,43
240,76,12,255
248,152,44,255
212,176,36,128
220,20,4,255
212,104,56,128
200,36,24,185
220,60,72,128
240,24,28,191
244,160,152,153
220,56,80,43
224,168,168,13
240,204,0,170
252,36,8,255
212,48,56,153
216,44,8,255
248,84,76,61
252,244,140,128
220,176,164,1
228,44,68,12
220,48,40,85
220,200,200,1
244,64,36,191
252,164,48,255
252,164,4,255
252,168,92,255
188,24,8,255
244,28,0,255
204,88,80,128
204,92,80,170
244,48,68,36
188,100,108,26
244,40,44,118
232,164,144,36
236,112,96,32
224,168,160,18
164,52,36,85
200,64,68,128
196,156,48,255
224,84,84,128
244,156,28,255
240,20,12,255
224,188,16,255
248,148,4,255
228,204,168,6
224,124,116,128
216,120,88,36
224,128,20,128
212,184,52,255
220,104,8,255
240,172,84,255
248,96,28,255
224,208,136,26
232,116,56,255
252,236,8,238
248,52,0,255
232,120,116,85
244,84,4,255
248,188,8,255
252,184,116,73
252,188,140,85
252,132,48,255
232,196,112,51
204,80,68,64
208,28,20,255
248,176,172,57
252,160,16,255
208,68,100,255
212,116,48,255
248,132,112,64
244,224,12,128
244,228,148,43
200,52,36,153
216,72,32,255
236,104,48,255
244,232,196,6
252,72,88,102
252,76,72,60
224,152,156,10
244,80,80,36
252,20,28,85
236,60,24,255
232,100,16,255
192,72,64,73
224,200,4,255
232,24,20,255
224,132,56,255
252,204,84,219
244,124,64,255
236,148,96,255
248,244,208,6
252,184,104,170
252,152,72,255
232,224,220,0
220,48,16,255
224,44,40,28
232,152,0,255
248,156,152,255
188,124,132,8
248,56,40,255
220,24,0,255
236,88,72,23
252,28,8,255
220,36,36,64
164,20,4,255
200,20,24,102
212,92,32,255
220,112,72,6
252,152,44,255
180,48,52,102
252,40,12,255
212,52,36,128
232,80,56,51
216,40,4,255
224,196,20,255
204,160,64,85
248,36,44,116
236,136,88,128
244,68,24,255
252,168,0,255
248,248,8,128
148,64,60,55
188,28,20,182
216,184,28,255
244,16,4,255
200,136,132,5
216,208,44,255
208,32,28,255
232,128,136,255
248,164,32,255
244,192,188,5
244,196,100,43
244,100,36,255
240,44,36,255
168,68,64,51
244,144,24,255
252,108,88,49
252,80,56,121
236,120,124,128
236,80,84,128
244,172,28,255
232,64,64,113
240,168,72,255
236,204,44,255
240,148,148,255
236,212,156,16
252,48,68,12
164,76,80,57
248,48,28,255
232,40,24,198
244,72,0,255
216,44,36,91
252,188,104,204
244,100,100,255
252,96,16,255
180,148,88,13
164,76,68,85
164,64,60,109
172,100,92,43
212,116,68,85
204,60,56,102
208,68,56,139
248,60,16,255
228,128,104,43
184,40,12,255
252,152,140,26
216,188,52,255
244,224,176,13
160,76,68,128
208,116,68,128
252,96,64,232
236,104,84,64
224,176,148,2
228,212,4,255
252,76,36,255
252,48,76,10
240,92,76,45
204,120,108,51
240,216,16,255
252,24,24,239
252,200,120,14
252,128,92,9
236,196,180,2
216,88,40,255
192,48,12,255
252,228,28,51
248,32,36,46
232,20,16,255
252,204,48,85
252,176,80,255
252,224,76,213
244,116,108,255
224,136,60,255
172,44,48,51
252,156,84,255
236,32,24,255
240,96,24,255
228,92,76,51
164,44,16,255
236,60,28,255
228,176,96,64
232,176,160,1
248,144,52,255
172,60,56,21
236,188,168,0
240,140,128,128
208,96,100,128
240,56,80,43
160,48,48,32
220,40,32,153
224,168,96,85
240,204,200,3
240,212,24,128
208,60,52,128
252,44,48,102
236,52,12,255
232,108,60,255
248,136,128,128
224,196,200,1
220,80,48,255
204,160,36,255
252,252,148,20
200,136,144,5
252,192,120,23
244,136,108,43
248,32,16,255
188,52,28,255
228,80,80,128
244,120,28,255
252,196,24,146
236,176,168,5
204,80,88,43
228,136,0,255
192,52,36,153
188,32,36,13
228,76,4,255
224,36,4,255
232,128,100,128
228,164,72,170
228,188,184,7
224,140,100,255
248,188,36,128
200,68,96,255
144,32,16,255
252,84,52,244
228,196,176,1
220,68,60,46
216,28,12,255
228,24,0,255
240,172,156,34
244,80,72,48
216,48,40,82
192,76,84,18
228,48,40,57
252,208,160,14
240,220,32,255
252,212,0,253
252,212,64,96
248,44,24,255
220,196,40,255
216,156,16,255
232,60,44,34
252,160,108,128
252,164,132,16
216,180,172,1
212,140,120,64
248,180,184,2
248,216,96,128
164,64,64,85
252,144,152,43
240,112,44,255
240,96,0,255
208,64,52,102
184,24,8,128
240,92,88,85
240,36,0,255
244,224,212,7
236,68,4,255
248,196,84,255
220,12,16,255
252,100,76,45
236,108,72,64
216,40,8,255
236,112,40,255
252,152,40,255
180,36,36,7
180,88,76,255
196,84,100,51
232,100,76,255
192,28,16,255
252,28,4,255
220,136,132,20
212,104,96,128
248,252,248,0
204,172,176,1
252,232,24,85
228,48,28,255
244,92,68,21
216,104,8,255
252,180,92,255
216,168,172,1
240,200,176,1
176,72,72,159
244,104,104,64
172,48,52,85
204,72,8,255
240,108,28,255
224,204,116,43
228,80,72,191
244,132,40,255
140,24,20,64
248,148,144,102
204,28,32,96
248,140,48,255
220,172,32,255
236,80,40,255
204,116,96,170
252,148,4,255
224,76,40,255
192,24,8,255
212,44,32,128
228,208,60,128
252,152,124,40
220,120,64,255
224,76,44,85
232,104,52,255
212,44,44,77
188,132,32,255
248,72,88,128
196,56,52,113
204,28,4,255
252,196,116,128
248,28,20,255
240,212,108,128
252,144,56,255
204,24,24,255
216,164,152,0
244,128,44,255
204,36,36,102
248,228,228,18
248,120,116,170
208,40,4,255
160,76,72,128
248,156,24,255
220,40,40,64
240,52,60,128
236,132,88,85
228,200,56,170
236,84,40,255
244,136,0,255
212,128,132,43
236,160,84,255
252,88,48,255
236,0,4,255
220,72,56,43
216,116,60,255
204,140,48,255
212,48,28,255
196,40,16,255
216,44,44,16
220,184,144,12
212,140,140,18
224,136,56,255
252,216,4,225
248,40,20,255
232,32,0,255
244,64,8,255
228,24,12,213
236,176,116,32
184,64,36,128
204,60,32,85
252,140,36,255
248,212,100,85
216,140,40,255
240,124,40,255
248,168,0,255
164,48,32,85
184,20,12,255
240,32,12,255
224,104,8,255
200,80,76,43
220,48,20,255
252,104,72,213
244,180,96,170
244,176,148,28
236,116,36,255
212,56,40,128
252,64,48,183
252,52,44,153
224,128,48,255
232,68,32,255
240,160,24,255
252,0,0,255
236,200,20,255
240,68,64,136
220,176,24,255
240,144,124,85
204,80,92,255
252,176,136,39
216,100,12,255
252,28,36,51
252,184,88,204
240,24,0,255
188,40,36,14
240,72,8,255
172,52,56,43
252,132,92,22
200,128,128,26
248,188,168,33
232,172,60,255
248,208,204,13
240,80,68,82
196,128,108,12
224,100,16,255
172,28,16,255
164,16,20,64
252,124,32,255
228,24,4,227
184,76,12,255
240,48,28,255
212,84,84,255
212,72,60,85
252,212,76,113
220,132,0,255
252,252,44,22
248,64,68,146
168,40,40,28
192,28,0,255
204,148,8,255
232,48,20,255
244,112,20,255
252,148,52,255
204,64,36,85
232,136,124,255
244,12,16,170
240,92,92,51
228,68,28,255
224,44,12,255
220,52,36,32
208,52,0,255
248,196,88,170
204,20,4,255
252,152,84,255
216,24,28,128
240,48,48,109
252,112,8,255
224,68,68,128
244,140,12,255
252,88,84,20
248,124,104,36
180,48,48,102
236,4,8,255
160,24,20,27
216,120,120,85
248,124,40,255
236,48,36,170
240,176,44,255
252,240,28,128
252,244,180,9
236,136,120,128
252,220,24,77
192,64,56,170
236,132,4,255
228,28,0,255
252,140,128,43
224,60,68,128
232,136,36,255
248,200,168,13
212,44,28,153
248,28,4,255
248,164,4,255
184,28,24,51
228,152,148,1
228,156,124,128
252,88,12,255
232,140,84,128
224,104,76,85
244,144,124,85
228,200,48,255
228,204,144,14
236,120,32,255
228,40,48,26
220,64,20,255
252,56,40,216
176,52,44,23
240,8,12,255
232,64,60,142
200,40,20,255
252,4,12,213
236,204,8,255
220,180,20,85
236,100,88,85
216,76,52,255
252,208,32,128
236,136,76,255
232,40,36,255
208,36,32,85
252,184,60,255
236,164,80,255
248,220,0,255
224,56,32,255
200,140,136,4
240,116,4,255
224,28,24,255
196,140,144,4
168,56,68,170
232,132,24,255
212,176,172,2
184,112,92,43
252,96,36,255
244,184,176,5
228,208,132,23
252,76,0,255
212,72,80,85
208,168,32,255
248,108,68,128
252,248,248,7
252,224,40,85
248,60,64,170
252,200,148,57
248,176,108,51
192,24,28,32
228,48,44,182
252,160,152,28
188,32,0,255
232,200,176,4
192,44,32,32
192,48,24,255
200,152,148,1
244,220,208,5
248,144,80,255
236,96,84,64
252,112,108,64
252,116,4,255
240,144,0,255
228,40,44,26
224,64,72,170
248,156,92,255
244,128,8,255
252,92,72,20
228,116,100,85
252,64,40,249
236,8,12,255
200,44,20,255
248,220,64,255
244,28,20,255
196,32,24,204
252,244,16,234
248,76,8,255
252,156,40,255
216,120,64,255
236,100,56,255
244,120,48,255
224,188,148,10
232,96,76,73
152,60,56,43
228,72,64,204
204,32,12,255
164,92,84,36
228,24,8,255
240,68,16,255
244,192,196,4
196,156,164,3
228,24,24,191
240,40,20,255
224,80,0,255
224,92,96,128
244,148,96,255
248,108,52,255
228,204,60,255
212,52,52,43
212,108,96,170
220,20,0,255
196,120,116,16
252,60,52,166
224,208,28,255
236,208,12,255
216,72,56,43
252,212,44,102
244,144,12,255
232,36,32,255
252,188,32,255
244,100,28,255
252,108,68,255
224,52,32,170
236,36,24,255
244,48,0,255
232,64,40,204
224,24,4,255
252,80,44,255
168,52,64,51
232,136,92,255
236,64,64,153
228,40,36,153
212,124,120,128
252,100,40,255
236,108,100,191
252,60,12,255
252,48,4,255
240,220,216,5
232,72,0,255
240,164,104,128
244,200,200,9
252,244,20,170
212,24,16,255
184,104,48,255
248,60,36,255
244,100,24,255
244,92,32,255
252,176,8,255
248,16,0,253
196,156,156,1
236,156,116,128
244,104,12,255
212,44,24,255
252,156,44,255
248,228,28,128
240,96,64,85
228,92,20,255
252,116,108,15
188,92,68,43
252,208,108,39
232,144,76,255
228,140,136,128
252,116,96,6
208,140,128,15
212,132,48,255
240,8,8,255
244,132,52,255
220,92,40,255
252,68,36,255
236,12,16,255
220,152,160,12
212,44,8,255
252,248,20,182
252,252,172,3
212,80,68,128
224,180,176,2
252,192,176,16
228,56,60,128
220,56,64,102
248,252,244,0
252,144,92,128
224,136,64,255
236,132,64,255
216,160,100,26
204,120,120,51
228,64,36,255
208,40,32,39
228,188,192,6
248,152,148,255
240,52,16,255
224,184,176,2
252,128,12,255
176,128,36,255
184,92,84,128
200,28,12,255
248,232,224,6
240,196,184,2
240,200,184,1
232,88,52,255
196,40,52,9
240,176,172,22
236,60,16,255
236,212,0,230
220,188,12,255
216,68,60,64
240,140,140,255
228,44,12,255
220,48,36,61
236,132,132,255
252,160,36,255
228,120,56,255
232,112,112,128
252,164,76,255
232,216,32,255
244,24,24,255
252,140,0,255
248,212,8,85
232,68,60,32
200,132,128,36
168,24,8,255
196,132,136,17
244,48,56,43
236,68,76,85
252,140,96,40
244,152,44,255
160,68,56,64
252,104,44,255
232,132,28,255
228,212,212,1
248,76,32,255
240,88,60,36
244,168,104,255
252,52,8,255
244,52,32,255
236,28,4,255
212,68,72,170
236,192,168,1
188,140,144,1
252,224,224,17
212,40,24,182
248,188,52,255
232,120,32,255
232,116,128,128
152,64,64,43
196,52,64,51
252,180,4,255
248,12,4,255
236,160,112,255
244,108,0,255
236,56,16,255
252,128,40,255
248,224,32,255
244,56,44,43
248,180,92,255
188,64,64,36
232,208,88,128
244,212,200,4
248,140,8,255
248,108,100,255
208,108,40,255
252,120,100,7
252,124,28,255
168,24,16,36
236,100,24,255
220,44,20,255
252,68,64,142
252,72,32,255
236,16,20,255
208,104,104,128
232,44,52,51
220,128,68,255
204,48,48,109
252,252,8,40
248,68,0,255
252,180,60,223
220,128,48,255
252,136,124,64
232,164,96,1
252,148,80,255
252,148,104,29
216,80,96,51
232,152,72,255
240,76,24,255
232,180,164,0
196,148,156,2
192,64,68,128
244,244,244,0
192,148,108,4
200,36,36,64
236,88,16,255
232,48,52,64
224,164,164,9
200,24,0,255
180,32,4,255
220,144,140,27
236,208,196,3
236,212,108,128
252,204,24,109
248,80,40,255
224,192,196,1
252,216,76,128
216,124,96,43
224,72,64,64
244,64,80,255
252,164,40,255
252,168,72,255
252,80,0,255
232,212,36,255
188,96,92,64
252,140,92,51
172,68,72,85
224,60,40,102
244,56,20,255
232,52,32,204
244,40,24,255
228,164,164,5
232,196,4,255
212,184,184,5
252,184,76,255
236,72,72,153
244,156,32,255
244,144,64,255
252,108,16,255
228,204,188,1
244,168,12,255
212,116,84,20
244,172,100,64
252,56,12,255
240,164,160,15
228,100,0,255
232,116,36,255
252,236,28,191
248,52,44,255
232,168,104,11
188,112,20,255
252,236,52,85
248,8,8,255
164,100,92,6
240,220,164,15
252,132,36,255
216,176,176,3
244,60,32,255
200,108,104,128
200,104,24,255
184,32,20,179
216,32,40,64
228,140,112,64
248,136,4,255
224,108,92,64
212,164,36,255
244,228,168,43
252,96,24,255
236,104,28,255
220,80,16,255
252,72,68,106
252,76,92,255
236,60,12,255
200,136,124,3
220,4,8,255
236,60,44,34
220,132,72,255
224,200,92,128
228,120,60,255
232,112,108,170
244,112,84,18
252,176,112,85
244,88,0,255
228,48,52,113
236,148,20,255
212,160,16,255
252,144,148,23
244,116,36,255
212,56,36,170
252,180,144,85
208,12,12,255
240,100,32,255
232,156,156,2
244,184,24,255
204,116,36,255
144,64,60,17
248,148,52,255
252,160,12,255
240,196,192,6
252,112,64,255
172,44,16,255
220,132,92,85
252,160,100,191
236,92,44,255
220,36,8,255
252,92,100,85
200,20,4,255
232,92,64,43
244,140,148,255
196,116,0,255
248,124,96,26
224,140,116,43
248,120,0,255
252,104,36,255
180,100,80,85
248,80,68,89
216,144,52,255
216,120,108,85
236,136,100,255
236,64,16,255
232,56,52,118
252,168,44,255
252,172,116,43
188,28,8,255
244,16,16,255
232,116,52,255
244,208,204,6
228,76,76,128
184,60,76,36
240,120,76,255
240,68,52,26
248,160,84,255
220,44,8,255
252,176,60,255
228,156,68,255
248,112,68,255
236,76,84,255
244,144,36,255
184,52,56,43
248,180,168,43
220,56,32,128
176,36,4,255
252,80,20,255
244,168,160,102
244,172,0,255
240,196,56,85
