4337315,4
252,232,112,2
252,236,48,1
244,80,84,4
252,180,52,0
228,12,8,0
232,164,124,3
184,104,32,0
236,160,32,0
248,216,200,137
172,52,52,8
248,224,16,0
244,56,28,0
244,88,64,20
248,132,28,0
164,64,40,0
244,208,104,0
244,216,212,145
216,76,68,5
240,92,16,0
236,164,116,0
244,224,36,0
252,124,44,0
200,52,60,1
248,60,44,1
212,124,12,0
196,48,32,2
240,212,196,113
248,112,76,4
176,40,16,0
252,248,168,22
220,192,168,100
220,140,80,2
204,168,32,0
240,12,16,0
228,60,64,3
248,24,20,0
232,48,32,0
252,148,0,0
228,108,68,3
244,12,12,0
172,88,72,0
204,40,52,15
224,44,0,0
232,88,36,0
244,220,128,4
208,24,12,0
248,148,64,0
248,56,20,0
212,168,160,192
252,112,28,0
236,88,32,0
244,140,56,0
240,228,0,0
252,92,24,0
236,4,4,0
244,96,48,0
220,112,112,1
244,108,88,11
188,148,144,286
236,48,40,0
220,152,12,0
252,240,32,1
240,184,168,416
240,152,108,1
188,68,68,3
252,220,4,1
248,36,4,0
252,160,168,1
244,68,0,0
252,168,24,0
232,212,116,1
232,208,44,1
184,36,36,24
232,140,144,2
224,68,36,0
232,136,48,0
228,160,76,0
200,124,112,2
252,188,192,340
228,152,152,142
240,44,28,0
212,156,156,77
236,76,8,0
220,52,20,0
228,200,4,1
252,80,32,0
184,136,144,182
200,48,16,0
220,64,24,0
224,128,72,0
252,60,68,8
248,236,236,288
232,64,40,1
252,44,0,0
208,56,36,1
248,92,0,0
252,236,76,3
252,208,52,3
232,40,48,7
252,188,112,4
216,180,32,1
244,148,140,0
252,136,76,0
236,68,16,0
244,60,16,0
240,116,8,0
248,176,16,0
164,56,48,4
252,124,56,0
232,164,100,94
196,132,124,55
220,8,4,0
224,72,60,11
240,236,236,1343
196,104,12,0
252,76,12,0
212,72,68,2
248,248,0,11
220,4,0,0
252,24,48,316
248,104,24,0
252,224,92,0
248,64,44,0
228,52,28,0
252,76,28,0
244,88,48,0
232,28,12,0
228,48,68,25
248,20,16,0
176,76,76,4
232,200,204,169
192,44,20,0
228,96,64,1
240,100,80,13
228,88,12,0
236,104,40,0
240,72,84,0
232,176,136,11
224,124,96,5
252,112,112,2
248,244,232,214
252,116,16,0
224,64,68,4
244,128,60,0
252,148,52,0
252,64,28,0
236,8,0,0
240,200,64,0
240,212,32,1
248,120,48,0
212,40,8,0
232,108,36,0
252,244,44,4
252,216,192,392
184,48,60,9
248,148,144,3
252,192,0,0
244,228,200,47
216,188,116,7
236,204,4,0
244,88,68,23
192,56,52,6
236,184,112,3
192,68,80,7
228,76,60,3
248,200,192,108
208,44,48,8
228,164,80,0
204,12,20,0
168,40,52,28
232,180,80,0
240,40,0,0
240,140,52,0
236,80,12,0
244,148,108,1
252,80,68,40
252,84,44,0
240,112,88,3
236,60,0,0
196,120,120,8
252,60,32,0
204,160,156,229
252,156,104,3
224,64,8,0
204,32,32,2
216,48,48,5
220,184,100,4
216,48,28,0
192,100,88,1
252,212,56,3
236,160,152,16
252,160,116,12
252,196,180,169
252,164,156,5
244,100,40,0
224,52,52,4
236,44,32,2
208,24,8,0
244,48,20,0
240,112,4,0
200,100,76,3
244,204,16,2
244,252,160,73
228,132,28,0
216,132,0,0
208,116,0,0
208,112,96,1
252,100,36,0
248,92,4,0
228,208,60,1
180,36,12,0
240,220,204,326
232,72,28,0
252,116,80,9
248,104,68,2
248,100,28,0
216,84,4,0
236,200,200,103
248,60,40,2
224,64,4,0
136,24,12,1
252,176,28,0
248,16,12,0
188,84,88,3
176,72,80,5
248,236,208,63
252,156,24,0
248,228,16,0
248,224,144,12
240,96,92,2
204,48,44,9
244,204,200,71
244,216,152,9
204,28,8,0
248,140,88,0
232,116,100,1
240,56,20,0
244,148,64,0
252,120,20,0
240,228,184,22
248,236,224,101
244,132,0,0
216,132,20,0
244,184,96,0
228,172,92,4
