  -140828,  221434, 3 ,   1 ,  END,  END,  1, 1, 1, 1
  -140986,   88800, 0 ,   2 ,   5 ,  END,  1, 1, 1, 1
  -144313,  -42065, 1 ,   6 ,  END,  END,  1, 1, 1, 1
  -78568,   222090, 0 ,   4 ,  END,  END,  1, 1, 1, 1
  -38276,   222290, 3 ,   5 ,  END,  END,  1, 1, 1, 1
  -39558,    87844, 1 ,   4 ,   8 ,   6 ,  1, 1, 1, 1
  -46528,   -41631, 2 ,   5 ,   7 ,   9 ,  1, 1, 1, 1
  -45764,  -135413, 6 ,   10,  END,  END,  1, 1, 1, 1
  51834,     87232, 5 ,   9 ,   14,  END,  1, 1, 1, 1
  53041,    -41220, 6 ,   8 ,   10,  13 ,  1, 1, 1, 1
  53438,   -133901, 7 ,   9 ,   11,  END,  1, 1, 1, 1
  108750,  -134590, 10 , 12 ,  END,  END,  1, 1, 1, 1
  130021,  -143108, 11 , END,  END,  END,  1, 1, 1, 1
  182559,   -41031, 9 ,  END,  END,  END,  1, 1, 1, 1
  177598,    86098, 8 ,   15,  END,  END,  1, 1, 1, 1
  170313,    69008, 14 , END,  END,  END,  1, 1, 1, 1
